,artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,dataset,track_link
2042,killing joke,requiem,0PZXhureTA1HfRkQWn2U1E,0.497,0.685,10.0,-7.293,1.0,0.028,0.0435,0.0401,0.152,0.743,172.206,audio_features,spotify:track:0PZXhureTA1HfRkQWn2U1E,https://api.spotify.com/v1/tracks/0PZXhureTA1HfRkQWn2U1E,https://api.spotify.com/v1/audio-analysis/0PZXhureTA1HfRkQWn2U1E,225467.0,4.0,not_hot,https://open.spotify.com/track/0PZXhureTA1HfRkQWn2U1E
2043,paul whiteman & his orchestra,whispering,01e4Qq2Wxa6p4oWeCSTU8K,0.693,0.408,2.0,-8.0,1.0,0.03,0.996,0.913,0.114,0.523,96.388,audio_features,spotify:track:01e4Qq2Wxa6p4oWeCSTU8K,https://api.spotify.com/v1/tracks/01e4Qq2Wxa6p4oWeCSTU8K,https://api.spotify.com/v1/audio-analysis/01e4Qq2Wxa6p4oWeCSTU8K,201693.0,4.0,not_hot,https://open.spotify.com/track/01e4Qq2Wxa6p4oWeCSTU8K
2044,barry mcguire,eve of destruction,1Zi2ezNOqt9y9irC11xYpN,0.613,0.307,2.0,-17.385,1.0,0.0414,0.387,4.52e-06,0.087,0.789,117.305,audio_features,spotify:track:1Zi2ezNOqt9y9irC11xYpN,https://api.spotify.com/v1/tracks/1Zi2ezNOqt9y9irC11xYpN,https://api.spotify.com/v1/audio-analysis/1Zi2ezNOqt9y9irC11xYpN,215827.0,4.0,not_hot,https://open.spotify.com/track/1Zi2ezNOqt9y9irC11xYpN
2045,the rolling stones,little red rooster,3GgpUEdSy8uO58XG35rRho,0.721,0.432,7.0,-11.688,1.0,0.0411,0.0674,0.0321,0.0971,0.674,109.373,audio_features,spotify:track:3GgpUEdSy8uO58XG35rRho,https://api.spotify.com/v1/tracks/3GgpUEdSy8uO58XG35rRho,https://api.spotify.com/v1/audio-analysis/3GgpUEdSy8uO58XG35rRho,185787.0,3.0,not_hot,https://open.spotify.com/track/3GgpUEdSy8uO58XG35rRho
2046,interpol,evil,4absiGHMelB8eH976ytjBj,0.489,0.769,5.0,-3.524,1.0,0.038,0.00135,0.56,0.0727,0.637,128.985,audio_features,spotify:track:4absiGHMelB8eH976ytjBj,https://api.spotify.com/v1/tracks/4absiGHMelB8eH976ytjBj,https://api.spotify.com/v1/audio-analysis/4absiGHMelB8eH976ytjBj,215827.0,4.0,not_hot,https://open.spotify.com/track/4absiGHMelB8eH976ytjBj
2047,mary j. blige,real love,3XG801WWhqC753dekEBkMt,0.769,0.781,0.0,-5.472,1.0,0.0797,0.119,0.000371,0.0506,0.826,95.02,audio_features,spotify:track:3XG801WWhqC753dekEBkMt,https://api.spotify.com/v1/tracks/3XG801WWhqC753dekEBkMt,https://api.spotify.com/v1/audio-analysis/3XG801WWhqC753dekEBkMt,269973.0,4.0,not_hot,https://open.spotify.com/track/3XG801WWhqC753dekEBkMt
2048,david bowie,suffragette city,3YZa4IzxK2UtEKTvdTgsi8,0.455,0.883,2.0,-9.159,1.0,0.0384,0.368,0.0,0.277,0.782,142.638,audio_features,spotify:track:3YZa4IzxK2UtEKTvdTgsi8,https://api.spotify.com/v1/tracks/3YZa4IzxK2UtEKTvdTgsi8,https://api.spotify.com/v1/audio-analysis/3YZa4IzxK2UtEKTvdTgsi8,208413.0,4.0,not_hot,https://open.spotify.com/track/3YZa4IzxK2UtEKTvdTgsi8
2049,tom jones,it's not unusual,4MsmrWw92ZQVQ6o5C8v5md,0.384,0.884,10.0,-10.09,1.0,0.165,0.494,2.02e-06,0.705,0.5,102.166,audio_features,spotify:track:4MsmrWw92ZQVQ6o5C8v5md,https://api.spotify.com/v1/tracks/4MsmrWw92ZQVQ6o5C8v5md,https://api.spotify.com/v1/audio-analysis/4MsmrWw92ZQVQ6o5C8v5md,84284.0,4.0,not_hot,https://open.spotify.com/track/4MsmrWw92ZQVQ6o5C8v5md
2050,the three degrees,when will i see you again,02srSkeu2pzybuVr2B9TJm,0.564,0.593,9.0,-9.245,1.0,0.0328,0.732,0.00366,0.343,0.766,120.753,audio_features,spotify:track:02srSkeu2pzybuVr2B9TJm,https://api.spotify.com/v1/tracks/02srSkeu2pzybuVr2B9TJm,https://api.spotify.com/v1/audio-analysis/02srSkeu2pzybuVr2B9TJm,178747.0,4.0,not_hot,https://open.spotify.com/track/02srSkeu2pzybuVr2B9TJm
2051,the rolling stones,fool to cry,3T8dfE0azJUmXJA3QlmiZ5,0.444,0.454,5.0,-7.434,1.0,0.0419,0.892,0.0546,0.114,0.236,67.848,audio_features,spotify:track:3T8dfE0azJUmXJA3QlmiZ5,https://api.spotify.com/v1/tracks/3T8dfE0azJUmXJA3QlmiZ5,https://api.spotify.com/v1/audio-analysis/3T8dfE0azJUmXJA3QlmiZ5,305400.0,4.0,not_hot,https://open.spotify.com/track/3T8dfE0azJUmXJA3QlmiZ5
