,UMAP_1,UMAP_2,cluster
551,-2.5751114,4.463573,2
552,1.1412992,-4.5858426,3
553,-3.539397,6.3172655,2
554,-3.5564048,3.5318696,2
555,-4.6012297,4.8736367,2
556,-0.43020442,-4.9708343,4
557,-0.07801952,0.28682476,6
558,-2.2601545,4.801161,2
559,-2.5523322,7.9165444,2
560,0.83039975,-6.3500085,3
561,-0.54229665,0.39918086,6
562,-4.381225,6.794824,2
563,-1.404614,6.816454,2
564,-2.908426,4.4991984,2
565,-4.1939926,6.905221,2
566,-2.229445,7.3936787,2
567,-5.1000853,5.192494,2
568,-2.8786705,7.8100386,2
569,-0.20092018,0.5780235,6
570,0.73125476,5.242943,2
571,2.2752345,-5.4400992,3
572,-2.944883,3.3888292,2
573,1.241128,-3.0854623,3
574,1.6581897,-6.9855313,3
575,-1.0003225,-0.0065238755,6
576,1.7829504,-4.3362894,3
577,-0.30376086,3.9294891,2
578,-1.7949755,6.7530155,2
579,-5.502412,4.9922624,2
580,1.2900485,4.3097954,2
581,1.4494516,-4.4057064,3
582,0.9347296,-6.3616376,3
583,12.623992,7.8262486,1
584,-3.6534622,7.182165,2
585,2.432904,-4.4140306,3
586,-3.3963938,4.6705136,2
587,-4.5778036,5.2204366,2
588,1.1975833,-2.9216037,3
589,-1.8869072,5.517834,2
590,-2.5909443,4.277169,2
591,2.087194,-6.0423336,3
592,12.461832,8.218535,1
593,1.0891311,-4.6446548,3
594,1.9131517,-4.6451206,3
595,1.9597673,-5.807058,3
596,2.191895,-6.611123,3
597,-4.483186,3.1577673,2
598,2.7145307,-6.944046,3
599,-0.8480554,-0.21106829,6
600,-2.7899363,4.915017,2
601,-2.8236775,4.049922,2
602,-4.7232738,7.171239,2
603,-3.0423849,4.6764913,2
604,-3.739444,5.426409,2
605,-2.8333852,3.9133053,2
606,-4.3209233,5.331168,2
607,1.1705616,4.6511245,2
608,0.8997363,-6.3795977,3
609,0.576131,-4.9940534,3
610,1.8433429,-4.365549,3
611,-5.455048,5.5209246,2
612,2.681501,-6.7215557,3
613,-2.0748198,7.223551,2
614,-0.7622749,-0.17870028,6
615,0.47430268,5.561566,2
616,-0.6264434,0.08298233,6
617,-1.3528637,1.012995,7
618,-1.1110634,3.2852826,2
619,-1.8656486,4.9086084,2
620,-4.5144897,7.085194,2
621,-1.2054765,4.2521772,2
622,11.9189625,8.184558,1
623,-4.4560895,7.3506775,2
624,-3.3874469,6.7356005,2
625,0.011213513,5.8275537,2
626,-0.37149605,-5.5143704,4
627,2.605083,-7.1009192,3
628,-4.256802,6.9866805,2
629,1.301999,-4.9737797,3
630,-2.8870816,7.787179,2
631,-1.0667683,6.6288633,2
632,-4.4085455,2.4050667,2
633,-1.2658215,6.6431355,2
634,-4.364156,5.9388065,2
635,-0.25683987,0.491884,6
636,2.2357984,-6.538401,3
637,-5.263887,5.290543,2
638,-0.68900806,4.183067,2
639,-4.9256105,7.0444098,2
640,-2.4328341,3.9309874,2
641,-4.480867,7.292698,2
642,-0.9290045,5.3902555,2
643,-4.155632,4.6205134,2
644,0.71373534,-4.9188714,3
645,-1.6170806,6.062224,2
646,0.78834283,-5.41941,3
647,-3.0984492,3.3342276,2
648,-2.0771604,5.164268,2
649,-4.9004326,3.992455,2
650,1.2510593,-3.127325,3
651,1.9612213,-5.6504593,3
652,-2.7751708,4.3933983,2
653,-0.32302824,-5.008531,4
654,-0.7961599,0.07793188,6
655,-0.8333509,6.067201,2
656,-3.57411,3.373349,2
657,1.6040385,-5.2285495,3
658,2.054235,-6.364677,3
659,-4.557414,3.344418,2
660,1.9743533,-4.9091053,3
661,-2.2040117,6.3802137,2
662,1.0545787,-3.7088437,3
663,-4.8467484,4.50095,2
664,-1.4613817,6.056867,2
665,-4.972203,3.9095166,2
666,0.6336174,-6.1300025,3
667,-1.4793363,4.93145,2
668,0.3770681,4.8353767,2
669,1.2650232,-5.34955,3
670,-0.50678307,-5.143917,4
671,0.62755305,-5.31938,3
672,-3.572956,1.7234179,2
673,2.427349,-4.4450006,3
674,0.7570168,-5.162407,3
675,0.33104512,5.4937625,2
676,0.713122,-4.4792156,3
677,-1.9148769,7.7537503,2
678,-0.89914423,5.195567,2
679,-4.4260387,2.6421688,2
680,1.9196976,-5.1900206,3
681,1.130411,-2.8499894,3
682,-1.5010934,5.191903,2
683,-3.2786558,4.94823,2
684,-0.20777231,0.17358483,6
685,1.2397873,-3.1806376,3
686,-0.5825763,-0.45040113,6
687,-1.929353,4.9624043,2
688,12.620414,8.2108135,1
689,-2.7556043,7.885218,2
690,2.3826487,-5.3477073,3
691,0.41417125,5.6073723,2
692,1.024163,4.7458563,2
693,-4.496138,5.8479795,2
694,-5.007152,4.7142167,2
695,-4.662711,5.326597,2
696,0.9431166,4.130047,2
697,1.8386334,-4.3294897,3
698,-1.9529414,6.663742,2
699,2.1805935,-6.315984,3
700,-0.2444225,5.662127,2
701,-0.3547158,4.26779,2
702,-4.849856,5.2514033,2
703,-1.07369,5.2240396,2
704,1.1013142,4.109947,2
705,-0.8058833,-0.040515143,6
706,-0.804426,-0.06113248,6
707,-0.08560573,5.3338428,2
708,-1.7627264,4.180382,2
709,1.7474613,-5.599769,3
710,1.2157696,-4.8524814,3
711,-3.1907399,6.0723763,2
712,1.5623499,-6.8402596,3
713,-3.3239312,6.7852907,2
714,-1.0014429,5.6808476,2
715,-0.36474395,-5.550964,4
716,-0.80550134,3.6114569,2
717,-4.6836762,5.302601,2
718,-0.8317564,0.5999738,6
719,-3.235821,5.052587,2
720,-4.0600815,4.848472,2
721,12.450328,7.989494,1
722,-0.93501914,6.3051147,2
723,-0.5984913,0.660283,6
724,-3.337412,4.769574,2
725,12.362577,8.470014,1
726,-3.238895,5.50762,2
727,2.2091515,-4.61993,3
728,-4.6512814,6.676229,2
729,-5.2387176,5.580166,2
730,1.9008831,-6.0183077,3
731,-3.4409747,4.6080294,2
732,0.791633,-4.332071,3
733,-0.4857218,-5.08463,4
734,-5.124615,6.6551685,2
735,-5.2218895,5.791467,2
736,0.709041,-5.2605395,3
737,-0.86882204,6.1588407,2
738,-0.43441078,-5.3998137,4
739,-3.2845454,6.074463,2
740,-3.2569075,6.3319526,2
741,0.95344704,4.6856384,2
742,12.445494,8.501873,1
743,-3.4429824,5.2079988,2
744,-1.3176223,7.5516257,2
745,-3.274631,6.808205,2
746,-4.5737734,5.129892,2
747,0.9028428,-5.708571,3
748,1.1828091,-3.1837883,3
749,-1.0235238,5.1862617,2
